Tree,Crown_Area_m2,AGB_kg,Carbon_kg,CO2_kg
#1,376.52,308.24,144.87,531.68
#2,66.76,38.67,18.17,66.7
#3,165.88,115.26,54.17,198.82
#4,69.96,40.9,19.22,70.55
#5,118.32,76.84,36.12,132.55
#6,475.08,407.44,191.5,702.79
#7,134.48,89.6,42.11,154.56
#8,114.04,73.52,34.55,126.82
#9,66.56,38.53,18.11,66.46
#10,31.56,15.74,7.4,27.14
#11,117.56,76.25,35.84,131.53
#12,142.04,95.68,44.97,165.04
#13,63.68,36.54,17.17,63.02
#14,143.0,96.46,45.34,166.38
#15,64.08,36.81,17.3,63.5
#16,286.96,222.5,104.57,383.79
#17,177.52,125.04,58.77,215.68
#18,44.64,23.86,11.21,41.15
#19,107.88,68.78,32.33,118.64
#20,135.24,90.21,42.4,155.61
#21,156.92,107.83,50.68,186.0
#22,37.24,19.19,9.02,33.11
#23,31.88,15.93,7.49,27.47
#24,49.16,26.78,12.59,46.2
#25,68.84,40.12,18.86,69.2
#26,81.2,48.91,22.99,84.37
Total,3327.0,2335.64,1097.75,4028.75
